CATEGORIA;ID;NOME;QUANTIDADE;VALOR
ARTESANAIS;1322;PIZZA SABORES;2;8.49
BEBIDA ALCÓLICA;1510;CAHACA VELHO BARREIRO 910ML;4;20.99
BEBIDA ALCÓLICA;1511;CERVEJA AMSTEL PURO MALTE 269ML;47;4.69
BEBIDA ALCÓLICA;1398;CERVEJA EISENBAHN 269ML;25;4.89
BEBIDA ALCÓLICA;1396;CERVEJA EISENBAHN 350ML;4;6.09
BEBIDA ALCÓLICA;1425;CERVEJA EISENBAHN TIPO PILSEN 355ML;2;6.99
BEBIDA ALCÓLICA;1394;ICE 51 FRUIT MIX 275ML;8;6.29
BEBIDA ALCÓLICA;1393;ICE 51 LIMAO 275ML;4;6.29
BEBIDA ALCÓLICA;1387;VINHO CHILENO BRANCO SUAVE 750ML;3;39.99
BEBIDA ALCÓLICA;1388;VINHO CHILENO RESERVADO CARMENERE 750ML;1;39.99
BEBIDA ALCÓLICA;1389;VINHO SANTA LORETO CABERENT SAUVIGNO 750ML;2;39.99
BEBIDA ALCÓLICA;1390;VODKA SMIRNOFF 998ML;2;46.99
BEBIDA ALCÓLICA;1392;WHISKY BALLANTINES FINEST 750ML;2;78.89
BEBIDA ALCÓLICA;1391;WHISKY RED LABEL JOHNNIE WALKER 750ML;2;98.89
BEBIDA NÃO ALCÓLICA;1574;AGUA DE COCO  PURO COCO 1L;5;12.99
BEBIDA NÃO ALCÓLICA;1408;AGUA DE COCO DUCOCO 1L;1;12.99
BEBIDA NÃO ALCÓLICA;288;AGUA MINERAL COM GAS 500ML INDAIA;12;3.49
BEBIDA NÃO ALCÓLICA;1593;AGUA MINERAL NATURAL MARIZA 500ML;13;3.49
BEBIDA NÃO ALCÓLICA;228;BEBIDA LACTEA CHOCOLATE PIRACANJUBA 200ML;6;2.99
BEBIDA NÃO ALCÓLICA;227;BEBIDA PROTEICA PARMALAT CHOCOLATE 250 ML;6;11.19
BEBIDA NÃO ALCÓLICA;41;CHA VERDE LARANJA E GENBIBRE AMOR E CHA 1L;3;5.99
BEBIDA NÃO ALCÓLICA;274;ENERGETICO ABACAXI COM HORTELA BALY 473ML;8;11.99
BEBIDA NÃO ALCÓLICA;1469;ENERGETICO BALY CAIPIRINHA 2L;2;15.99
