TIPO;ID;NOME;CATEGORIA;UNIDADES;VALOR_UNITARIO;VALOR_TOTAL;QTD_ANTERIOR;QTD_ATUAL
VENDA;1395;CERVEJA HEINEKEN 350ML;BEBIDA ALCÓLICA;2;7.39;14.78;26;24
VENDA;1467;ENERGETICO ULTRA MONSTER 473ML;BEBIDA NÃO ALCÓLICA;1;13.99;13.99;5;4
VENDA;273;ESCOVA DENTAL COLGATE;HIGIENE E LIMPEZA;1;9.19;9.19;3;2
VENDA;1540;MARSHAMALLOW FINI 80G;DOCES;1;7.49;7.49;3;2
VENDA;1511;CERVEJA PURO MALTE AMSTEL 269ML;BEBIDA ALCÓLICA;5;4.69;23.450000000000003;14;9
REPOSICAO;1406;REFRIGERANTE GUARANA ANTARCTICA ZERO 2L;BEBIDA NÃO ALCÓLICA;2;11.49;22.98;4;6
REPOSICAO;1385;REFRIGERANTE GUARANA ANTARCTICA 2L;BEBIDA NÃO ALCÓLICA;3;11.49;34.47;3;6
REPOSICAO;156;AGUA DE COCO MARI COCO 200ML;BEBIDA NÃO ALCÓLICA;5;4.99;24.950000000000003;0;5
REPOSICAO;2;HALLS MELANCIA 28G;DOCES;5;2.99;14.950000000000001;12;17
REPOSICAO;43;SUCO DE LARANJA DAFRUTA 1L;BEBIDA NÃO ALCÓLICA;1;6.99;6.99;3;4
REPOSICAO;1720;CERVEJA PURE GOLD STELLA ARTOIS 269ML;BEBIDA ALCÓLICA;6;6.99;41.94;0;6
REPOSICAO;1704;BEBIDA MISTA ABSOLUT VODKA SPRITE 269ML;BEBIDA ALCÓLICA;3;8.99;26.97;15;18
REPOSICAO;288;AGUA MINERAL COM GAS INDAIA 500ML;BEBIDA NÃO ALCÓLICA;7;3.49;24.43;5;12
