DATA_HORA;ID;NOME;QUANTIDADE_VENDIDA;VALOR_TOTAL
2026-08-23 17:26:35;18;CHOCOLATE LOLLO 28G;2;8.96
2026-08-23 17:26:35;55;REFRIGERANTE COCA COLA LATA 310ML;2;10.98
2026-08-23 17:26:35;1385;GUARANA ANTARCTICA PET 2L;1;11.48
2026-08-23 17:26:35;44;H2O LIMONETO 500ML;2;14.96
2026-08-23 18:09:49;1464;COCA COLA ZERO AÇUCAR  2L;1;12.88
2026-08-23 18:09:49;1363;MILHO PARA PIPOCA 500G;1;9.98
2026-08-23 23:15:19;1464;COCA COLA ZERO AÇUCAR  2L;1;12.88
2026-08-23 23:15:19;1465;CHOCOLATE SNICKERS ORIGINAL 40G;1;7.68
2026-08-23 23:27:41;8;TRIDENT MENTA 8G;2;7.98
2026-08-23 23:27:41;1464;COCA COLA ZERO AÇUCAR  2L;1;12.88
2026-08-23 23:27:41;1512;TORCIDA 60G QUEIJO;1;3.69
2026-08-24 00:57:28;18;CHOCOLATE LOLLO 28G;4;17.92
2026-08-24 02:22:46;163;BATATA QUEIJO PRINGLES 109G;1;15.98
2026-08-24 02:22:46;1385;GUARANA ANTARCTICA PET 2L;1;11.48
2026-08-24 03:49:46;1539;DENTADURAS 100G;1;7.49
2026-08-24 03:49:46;1396;CERVEJA EISENBAHN TIPO PILSEN LATA 350ML;8;48.72
2026-08-24 03:49:46;1398;CERVEJA EISENBAHN 269ML;1;4.78
2026-08-24 03:49:46;1385;;1;0.0
2026-08-24 03:49:46;1520;;1;0.0
2026-08-24 06:44:30;1348;;1;0.0
2026-08-24 06:44:30;1396;CERVEJA EISENBAHN TIPO PILSEN LATA 350ML;5;30.45
2026-08-24 07:53:08;1396;CERVEJA EISENBAHN TIPO PILSEN LATA 350ML;4;24.36
2026-08-24 10:32:24;55;REFRIGERANTE COCA COLA LATA 310ML;1;5.49
2026-08-24 11:21:28;1464;COCA COLA ZERO AÇUCAR  2L;1;12.88
2026-08-24 13:45:40;275;ACHOCOLATADO NESCAU 350G;1;15.48
2026-08-24 13:45:40;1400;GOMETS GOMA TUBO FRUTAS 32G;1;1.88
2026-08-24 13:45:40;1464;COCA COLA ZERO AÇUCAR  2L;1;12.88
2026-08-24 13:45:40;132;PAÇOQUITA SANTA HELENA 20G;1;1.98
2026-08-24 15:33:53;1378;ENERGÉTICO MONSTER 473ML;1;11.68
